# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 0, 1e-05]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    1.600000    -0.0000000000e+00     0.0000000000e+00     4.0900472504e-02
    1.650000     0.0000000000e+00     0.0000000000e+00     1.3398066575e-02
    1.700000     0.0000000000e+00     0.0000000000e+00     1.0050545736e-02
    1.750000     0.0000000000e+00     0.0000000000e+00     2.1102359184e-02
    1.800000     0.0000000000e+00     0.0000000000e+00     1.7347816163e-02
    1.850000     0.0000000000e+00     0.0000000000e+00    -6.3946493197e-04
    1.900000     0.0000000000e+00     0.0000000000e+00     7.7947754029e-03
    1.950000    -0.0000000000e+00     0.0000000000e+00     2.2050724175e-01
    2.000000    -0.0000000000e+00     0.0000000000e+00     1.1893398369e+00
    2.050000    -0.0000000000e+00     0.0000000000e+00     3.0988734533e+00
    2.100000    -0.0000000000e+00     0.0000000000e+00     4.0278151584e+00
    2.150000     0.0000000000e+00     0.0000000000e+00     2.6028504023e+00
    2.200000     0.0000000000e+00     0.0000000000e+00     8.2186333009e-01
    2.250000    -0.0000000000e+00     0.0000000000e+00     1.0442020551e-01
    2.300000    -0.0000000000e+00     0.0000000000e+00     1.1268407731e-02
    2.350000    -0.0000000000e+00     0.0000000000e+00     4.6476255895e-01
    2.400000    -0.0000000000e+00     0.0000000000e+00     3.5673765483e+00
    2.450000    -0.0000000000e+00     0.0000000000e+00     1.2957531346e+01
    2.500000     0.0000000000e+00     0.0000000000e+00     2.3558481900e+01
    2.550000     0.0000000000e+00     0.0000000000e+00     2.2631472087e+01
    2.600000     0.0000000000e+00     0.0000000000e+00     1.5864387580e+01
    2.650000     0.0000000000e+00    -0.0000000000e+00     1.5164626961e+01
    2.700000     0.0000000000e+00    -0.0000000000e+00     1.3713440414e+01
    2.750000     0.0000000000e+00    -0.0000000000e+00     7.2264178599e+00
    2.800000     0.0000000000e+00     0.0000000000e+00     2.1477756540e+00
    2.850000     0.0000000000e+00     0.0000000000e+00     4.4248634550e-01
    2.900000     0.0000000000e+00     0.0000000000e+00     1.1826872824e-01
    2.950000     0.0000000000e+00     0.0000000000e+00     8.4512437838e-02
    3.000000     0.0000000000e+00     0.0000000000e+00     1.0556096945e-01
    3.050000     0.0000000000e+00     0.0000000000e+00     1.4568017973e-01
    3.100000     0.0000000000e+00     0.0000000000e+00     1.8687770635e-01
    3.150000     0.0000000000e+00     0.0000000000e+00     2.0986364677e-01
    3.200000     0.0000000000e+00     0.0000000000e+00     1.9184332355e-01
    3.250000     0.0000000000e+00    -0.0000000000e+00     1.1470745588e-01
    3.300000     0.0000000000e+00    -0.0000000000e+00     4.9714414865e-02
    3.350000     0.0000000000e+00    -0.0000000000e+00     4.1384696401e-02
    3.400000     0.0000000000e+00    -0.0000000000e+00     5.7458646397e-02
