# LrTDDFT
LDA LDA
0.001 1 1e-05 2
# KSSingles
299 float64
0.001
0 18  0 0  0.178811 2     8.28674e-03 -3.17330e-02 5.51313e-03   9.68333e-03 -3.38942e-02 5.67734e-03   1.65879e-05 2.33784e-05 -1.77283e-06
0 19  0 0  0.178914 2     3.22701e-02 7.33221e-03 3.07336e-04   3.44786e-02 8.62772e-03 3.14753e-04   1.90844e-05 -3.53140e-06 8.22226e-06
0 20  0 0  0.183281 2     -5.03740e-04 -6.73366e-04 1.28964e-03   -4.79403e-04 -6.44761e-04 1.23178e-03   5.92812e-06 4.88106e-06 5.08115e-06
0 21  0 0  0.188177 2     -1.02705e-02 -9.60482e-03 1.47027e-03   -1.06711e-02 -1.01199e-02 1.43083e-03   -1.26809e-05 5.26005e-05 -7.95830e-06
0 22  0 0  0.188397 2     -9.39818e-03 8.27065e-03 -8.70601e-04   -9.92959e-03 8.64123e-03 -9.14937e-04   -5.49726e-05 -1.36949e-05 3.42460e-07
0 23  0 0  0.192349 2     -2.46747e-03 3.61552e-03 7.41631e-03   -2.48154e-03 3.57127e-03 7.29255e-03   -1.27167e-05 -8.89245e-06 -5.04028e-06
0 24  0 0  0.192487 2     -1.63264e-03 1.91607e-03 -4.75614e-03   -1.73092e-03 1.96304e-03 -4.81168e-03   -9.67160e-06 -5.34711e-06 -7.84793e-06
0 25  0 0  0.196112 2     -2.62646e-03 3.88554e-03 1.46301e-02   -2.49716e-03 3.60778e-03 1.37942e-02   -9.47594e-06 6.83430e-06 -5.20604e-06
0 26  0 0  0.199085 2     7.35626e-04 -8.16389e-03 -4.65139e-02   7.43104e-04 -7.50948e-03 -4.25835e-02   2.61891e-06 9.96926e-07 -1.82587e-07
0 27  0 0  0.203578 2     -1.28001e-02 -4.66973e-03 9.68852e-04   -1.02215e-02 -3.55859e-03 7.27229e-04   -1.87914e-05 2.15662e-05 -4.81233e-06
0 28  0 0  0.20395 2     6.41684e-03 -1.29941e-02 -1.05294e-03   5.28813e-03 -1.04351e-02 -1.70768e-03   2.31831e-05 1.92574e-05 1.53622e-07
0 29  0 0  0.206532 2     -1.51867e-02 2.80712e-02 2.93781e-03   -1.52667e-02 2.72633e-02 3.58122e-03   -1.56757e-05 -7.39960e-06 -8.01477e-06
0 30  0 0  0.206677 2     -2.86803e-02 -1.68905e-02 -2.32465e-03   -2.76954e-02 -1.69038e-02 -2.45651e-03   -8.08647e-07 8.62281e-06 -5.67185e-07
0 31  0 0  0.207339 2     -5.95067e-03 3.71665e-03 -1.52513e-03   -5.86508e-03 3.48856e-03 -1.44206e-03   -2.13412e-06 -3.67738e-06 -7.36350e-06
0 32  0 0  0.208186 2     -1.14068e-03 -3.10758e-03 3.39918e-02   -1.06203e-03 -2.47355e-03 3.39205e-02   -2.44158e-06 -1.24688e-06 -2.34100e-06
