# Kick = [    1.000000000000e-05,     0.000000000000e+00,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
        938.86258865       1.83186799e-15    -1.356435703347e-03     1.949894680195e-03     3.577740888380e-03
        940.10282985      -1.81799020e-15    -1.377538826731e-03     1.946569367087e-03     3.577124211151e-03
        941.34307105      -1.44328993e-15    -1.396025326387e-03     1.943250852890e-03     3.576191678814e-03
        942.58331225       2.52575738e-15    -1.411598419085e-03     1.939991515950e-03     3.574939723780e-03
        943.82355345       1.24900090e-16    -1.424124020402e-03     1.936837200155e-03     3.573408424362e-03
        945.06379465      -1.51267887e-15    -1.433427830564e-03     1.933817887551e-03     3.571680923421e-03
        946.30403585       7.49400542e-16    -1.439409401550e-03     1.930985633821e-03     3.569798098172e-03
        947.54427705       1.15185639e-15    -1.442110264086e-03     1.928416589702e-03     3.567784001861e-03
        948.78451825      -2.24820162e-15    -1.441558917116e-03     1.926130826875e-03     3.565688367342e-03
        950.02475945      -8.18789481e-16    -1.437836082724e-03     1.924119770414e-03     3.563562136655e-03
        951.26500065      -1.08246745e-15    -1.431123405937e-03     1.922415350649e-03     3.561441797993e-03
        952.50524185       2.01227923e-15    -1.421588064208e-03     1.921080579584e-03     3.559357730692e-03
        953.74548305      -1.84574578e-15    -1.409410995036e-03     1.920129036626e-03     3.557307133520e-03
        954.98572425      -6.10622664e-16    -1.394868066170e-03     1.919539384494e-03     3.555293997711e-03
        956.22596545       1.66533454e-16    -1.378214427752e-03     1.919317721179e-03     3.553388856811e-03
        957.46620665       9.43689571e-16    -1.359694707260e-03     1.919467045021e-03     3.551634424518e-03
        958.70644785      -1.67921232e-15    -1.339545174337e-03     1.919964278953e-03     3.550020163560e-03
        959.94668905      -1.49880108e-15    -1.318113714250e-03     1.920793542138e-03     3.548547302630e-03
        961.18693025       1.77635684e-15    -1.295832421467e-03     1.921993233496e-03     3.547230374009e-03
        962.42717145      -2.94209102e-15    -1.273063037658e-03     1.923546692221e-03     3.546028665874e-03
        963.66741265      -1.22124533e-15    -1.249957521109e-03     1.925382996653e-03     3.544917645444e-03
        964.90765385      -1.97064587e-15    -1.226705552034e-03     1.927449510165e-03     3.543927236380e-03
        966.14789505      -2.77555756e-16    -1.203514850783e-03     1.929749184852e-03     3.543089118075e-03
        967.38813625      -1.47104551e-15    -1.180635561957e-03     1.932262150747e-03     3.542396034172e-03
        968.62837745      -2.20656826e-15    -1.158344050914e-03     1.934948359935e-03     3.541836677009e-03
        969.86861865       1.80411242e-15    -1.136873737147e-03     1.937773264590e-03     3.541421142961e-03
        971.10885986       2.91433544e-16    -1.116377518804e-03     1.940693142100e-03     3.541163094238e-03
        972.34910106       8.60422844e-16    -1.097049144938e-03     1.943653801233e-03     3.541058569759e-03
        973.58934226       1.22124533e-15    -1.079062755942e-03     1.946626451473e-03     3.541094649807e-03
        974.82958346      -2.02615702e-15    -1.062619868029e-03     1.949558140845e-03     3.541258465435e-03
        976.06982466      -2.49800181e-16    -1.047833311214e-03     1.952384792387e-03     3.541580741202e-03
        977.31006586      -1.17961196e-15    -1.034768912260e-03     1.955064151570e-03     3.542116988603e-03
        978.55030706      -3.17801341e-15    -1.023534816516e-03     1.957575594679e-03     3.542922566656e-03
        979.79054826       2.35922393e-16    -1.014310615956e-03     1.959886556723e-03     3.543979723578e-03
        981.03078946       6.93889390e-17    -1.007211138338e-03     1.961998121177e-03     3.545321004903e-03
        982.27103066      -2.85882429e-15    -1.002245837077e-03     1.963892866505e-03     3.546916503348e-03
        983.51127186       2.53963517e-15    -9.993904898429e-04     1.965505096048e-03     3.548684635091e-03
        984.75151306       1.63757896e-15    -9.987732571477e-04     1.966777377006e-03     3.550571458172e-03
        985.99175426      -2.09554596e-15    -1.000482938180e-03     1.967743404385e-03     3.552578160879e-03
        987.23199546      -1.09634524e-15    -1.004495258527e-03     1.968420111552e-03     3.554686427516e-03
        988.47223666       1.34614542e-15    -1.010726879506e-03     1.968782275819e-03     3.556885427987e-03
        989.71247786      -1.47104551e-15    -1.019119620322e-03     1.968822672259e-03     3.559168612286e-03
        990.95271906       1.51267887e-15    -1.029643662167e-03     1.968553584073e-03     3.561498660786e-03
        992.19296026       4.02455846e-16    -1.042244837196e-03     1.967978646210e-03     3.563823028651e-03
        993.43320146       2.66453526e-15    -1.056842099274e-03     1.967114230246e-03     3.566091653570e-03
        994.67344266      -2.77555756e-16    -1.073350170294e-03     1.965989301119e-03     3.568244315786e-03
        995.91368386      -1.29063427e-15    -1.091644814756e-03     1.964617435784e-03     3.570235994801e-03
        997.15392506      -1.38777878e-17    -1.111568815445e-03     1.962996460457e-03     3.572038636210e-03
        998.39416626      -1.52655666e-16    -1.132971369032e-03     1.961120599175e-03     3.573616246463e-03
        999.63440746      -1.77635684e-15    -1.155619189413e-03     1.959005984778e-03     3.574932559106e-03
       1000.87464866       1.27675648e-15    -1.179223448735e-03     1.956698961409e-03     3.575986855815e-03
       1002.11488986      -4.31599201e-15    -1.203579001892e-03     1.954245593258e-03     3.576770980464e-03
       1003.35513106       2.56739074e-15    -1.228489982977e-03     1.951678594934e-03     3.577259708619e-03
       1004.59537226       1.15185639e-15    -1.253669556947e-03     1.949041396061e-03     3.577447765922e-03
       1005.83561346      -3.33066907e-16    -1.278798108537e-03     1.946367866667e-03     3.577334443604e-03
       1007.07585466       2.99760217e-15    -1.303547811821e-03     1.943666662920e-03     3.576897457559e-03
       1008.31609586       2.47024623e-15    -1.327558390430e-03     1.940967487113e-03     3.576152741402e-03
       1009.55633707       4.57966998e-16    -1.350406269356e-03     1.938309485506e-03     3.575158248062e-03
       1010.79657827       1.16573418e-15    -1.371671042147e-03     1.935697245981e-03     3.573917592560e-03
       1012.03681947       2.77555756e-17    -1.391022505531e-03     1.933163756833e-03     3.572391207582e-03
       1013.27706067      -2.99760217e-15    -1.408169060052e-03     1.930795554759e-03     3.570584275397e-03
       1014.51730187       2.17881269e-15    -1.422749280980e-03     1.928629070815e-03     3.568538695396e-03
       1015.75754307       2.31759056e-15    -1.434351467474e-03     1.926640167068e-03     3.566288708247e-03
       1016.99778427      -3.46944695e-16    -1.442598164915e-03     1.924841845585e-03     3.563882385571e-03
       1018.23802547      -9.57567359e-16    -1.447175569969e-03     1.923289478528e-03     3.561375438966e-03
       1019.47826667       1.20736754e-15    -1.447918669258e-03     1.922017029812e-03     3.558796450409e-03
       1020.71850787      -7.49400542e-16    -1.444775309862e-03     1.921038256097e-03     3.556183042921e-03
       1021.95874907      -2.41473508e-15    -1.437708778744e-03     1.920369420515e-03     3.553597082764e-03
       1023.19899027      -9.29811783e-16    -1.426695895680e-03     1.920002292750e-03     3.551087470623e-03
       1024.43923147       1.31838984e-15    -1.411800090904e-03     1.919913393769e-03     3.548683416788e-03
       1025.67947267       2.35922393e-16    -1.393164575908e-03     1.920128481092e-03     3.546424298347e-03
       1026.91971387      -2.08166817e-15    -1.371054424891e-03     1.920689474989e-03     3.544361453720e-03
       1028.15995507      -1.66533454e-15    -1.345852497985e-03     1.921553517672e-03     3.542531477375e-03
       1029.40019627       1.05471187e-15    -1.317912140537e-03     1.922694784649e-03     3.540967207139e-03
       1030.64043747      -8.04911693e-16    -1.287686588729e-03     1.924079920868e-03     3.539695704973e-03
       1031.88067867       1.42941214e-15    -1.255686262456e-03     1.925763273881e-03     3.538742462741e-03
       1033.12091987       1.66533454e-16    -1.222505472356e-03     1.927690735120e-03     3.538112382567e-03
       1034.36116107      -1.23512311e-15    -1.188759105370e-03     1.929814507466e-03     3.537766308976e-03
       1035.60140227       2.22044605e-16    -1.155154980163e-03     1.932135918468e-03     3.537666041293e-03
       1036.84164347      -2.42861287e-15    -1.122265860772e-03     1.934640008687e-03     3.537808710871e-03
       1038.08188467      -1.98452366e-15    -1.090676779874e-03     1.937297218804e-03     3.538227040372e-03
       1039.32212587       1.62370117e-15    -1.060973310393e-03     1.940091558353e-03     3.538960265368e-03
       1040.56236707      -1.06858966e-15    -1.033687281025e-03     1.942990051689e-03     3.540008627268e-03
       1041.80260827       1.38777878e-17    -1.009249508611e-03     1.945964256445e-03     3.541333110475e-03
       1043.04284947      -1.16573418e-15    -9.880879310198e-04     1.949016258156e-03     3.542884402997e-03
       1044.28309067      -1.54043445e-15    -9.706493952009e-04     1.952130839852e-03     3.544606756156e-03
       1045.52333187      -2.12330153e-15    -9.572816059489e-04     1.955252711739e-03     3.546457334644e-03
       1046.76357307      -1.06858966e-15    -9.481913395377e-04     1.958311437970e-03     3.548431441334e-03
       1048.00381428       1.06858966e-15    -9.435217622293e-04     1.961252832624e-03     3.550534165769e-03
       1049.24405548       6.66133815e-16    -9.433465073245e-04     1.964030546318e-03     3.552753015359e-03
       1050.48429668       2.63677968e-16    -9.476201455167e-04     1.966600249997e-03     3.555058545232e-03
       1051.72453788      -4.16333634e-17    -9.562937305319e-04     1.968903086463e-03     3.557424374422e-03
       1052.96477908      -4.96824804e-15    -9.693283092465e-04     1.970906444426e-03     3.559803592119e-03
       1054.20502028       1.26287869e-15    -9.865115160537e-04     1.972533855904e-03     3.562116494021e-03
       1055.44526148      -4.85722573e-16    -1.007449219018e-03     1.973707868480e-03     3.564309488497e-03
       1056.68550268       2.91433544e-16    -1.031772409253e-03     1.974397143689e-03     3.566357665262e-03
       1057.92574388       2.22044605e-16    -1.059116675149e-03     1.974564758369e-03     3.568240461573e-03
       1059.16598508       7.77156117e-16    -1.089090810809e-03     1.974133181809e-03     3.569964644557e-03
       1060.40622628       9.57567359e-16    -1.121102341262e-03     1.973080069360e-03     3.571570152227e-03
       1061.64646748      -1.13797860e-15    -1.154651015140e-03     1.971388572547e-03     3.573045166274e-03
       1062.88670868      -2.91433544e-16    -1.189202287243e-03     1.969139285921e-03     3.574321991186e-03
       1064.12694988       5.68989300e-16    -1.224222862388e-03     1.966353490831e-03     3.575333372039e-03
       1065.36719108      -4.16333634e-17    -1.259079563185e-03     1.963054807874e-03     3.576065920458e-03
       1066.60743228       1.27675648e-15    -1.293159123203e-03     1.959273759173e-03     3.576493115882e-03
       1067.84767348       3.74700271e-16    -1.325819523318e-03     1.955101383920e-03     3.576591775828e-03
       1069.08791468       1.95676808e-15    -1.356548020449e-03     1.950648304856e-03     3.576389808048e-03
       1070.32815588       7.63278329e-16    -1.384871424181e-03     1.946025862001e-03     3.575942389497e-03
       1071.56839708       1.11022302e-16    -1.410312575204e-03     1.941351603687e-03     3.575247545155e-03
       1072.80863828      -2.77555756e-16    -1.432479116758e-03     1.936736352027e-03     3.574272623330e-03
       1074.04887948      -2.26207941e-15    -1.451000328669e-03     1.932271333066e-03     3.573025244463e-03
       1075.28912068      -9.43689571e-16    -1.465503333369e-03     1.928040526157e-03     3.571525809779e-03
       1076.52936188       1.41553436e-15    -1.475774300735e-03     1.924139217612e-03     3.569786913226e-03
       1077.76960308      -1.20736754e-15    -1.481761781812e-03     1.920679948456e-03     3.567841123880e-03
       1079.00984428       1.58206781e-15    -1.483399765197e-03     1.917773152357e-03     3.565747731373e-03
       1080.25008548       9.43689571e-16    -1.480625968242e-03     1.915497992751e-03     3.563563938466e-03
       1081.49032668       1.52655666e-16    -1.473558767914e-03     1.913864553555e-03     3.561320461525e-03
       1082.73056788      -1.26287869e-15    -1.462406480123e-03     1.912875111130e-03     3.559038179949e-03
       1083.97080908       9.02056208e-16    -1.447311304597e-03     1.912563255900e-03     3.556755732212e-03
       1085.21105028       8.18789481e-16    -1.428433223441e-03     1.912952151813e-03     3.554520497099e-03
       1086.45129149      -1.41553436e-15    -1.406179004273e-03     1.913990059332e-03     3.552373432913e-03
       1087.69153269       7.63278329e-16    -1.381062911077e-03     1.915594097413e-03     3.550346527705e-03
       1088.93177389       2.91433544e-16    -1.353500902113e-03     1.917707154460e-03     3.548448057567e-03
       1090.17201509       1.62370117e-15    -1.323906251096e-03     1.920259198006e-03     3.546669699214e-03
       1091.41225629       8.46545056e-16    -1.292717767786e-03     1.923183743379e-03     3.545052251753e-03
       1092.65249749       2.22044605e-16    -1.260330960543e-03     1.926426038754e-03     3.543662352424e-03
       1093.89273869      -1.05471187e-15    -1.227186085723e-03     1.929926626912e-03     3.542509530607e-03
       1095.13297989      -2.52575738e-15    -1.193880175626e-03     1.933549527413e-03     3.541569364826e-03
       1096.37322109       1.55431223e-15    -1.160938497060e-03     1.937220648673e-03     3.540828674762e-03
       1097.61346229       9.15933995e-16    -1.128811037427e-03     1.940852083274e-03     3.540310877909e-03
       1098.85370349       1.74860126e-15    -1.097872176793e-03     1.944399891308e-03     3.540029388612e-03
       1100.09394469       1.49880108e-15    -1.068490607727e-03     1.947830812870e-03     3.539961063141e-03
       1101.33418589      -2.48412402e-15    -1.041076705635e-03     1.951104647034e-03     3.540102561002e-03
       1102.57442709       7.63278329e-16    -1.016028413629e-03     1.954192154098e-03     3.540478952095e-03
       1103.81466829       1.38777878e-16    -9.936976095104e-04     1.957047539607e-03     3.541070754439e-03
       1105.05490949      -2.77555756e-17    -9.744107722920e-04     1.959601795523e-03     3.541795592326e-03
       1106.29515069       2.01227923e-15    -9.583706433522e-04     1.961828796368e-03     3.542652049240e-03
       1107.53539189      -2.24820162e-15    -9.457511675341e-04     1.963732134801e-03     3.543623943926e-03
       1108.77563309       2.33146835e-15    -9.367047064970e-04     1.965319497116e-03     3.544692566402e-03
       1110.01587429      -5.55111512e-17    -9.313695960063e-04     1.966611600638e-03     3.545881287328e-03
       1111.25611549      -6.52256027e-16    -9.298204004193e-04     1.967605932483e-03     3.547220369029e-03
       1112.49635669      -8.88178420e-16    -9.320296391673e-04     1.968259745649e-03     3.548701721349e-03
       1113.73659789      -4.57966998e-16    -9.379579904691e-04     1.968568565636e-03     3.550327499530e-03
       1114.97683909      -1.56819002e-15    -9.475422457563e-04     1.968567706713e-03     3.552097604409e-03
       1116.21708029       1.45716772e-15    -9.606225619696e-04     1.968232764845e-03     3.553960314116e-03
       1117.45732149      -1.22124533e-15    -9.770354777299e-04     1.967534744558e-03     3.555859880872e-03
       1118.69756269       9.43689571e-16    -9.965741976572e-04     1.966491240352e-03     3.557780778780e-03
       1119.93780389      -8.18789481e-16    -1.018889119846e-03     1.965139664588e-03     3.559719303822e-03
       1121.17804509       1.13797860e-15    -1.043650592494e-03     1.963529749813e-03     3.561675247988e-03
       1122.41828629      -3.33066907e-16    -1.070735917587e-03     1.961697435632e-03     3.563613848451e-03
       1123.65852750      -1.69309011e-15    -1.099782735681e-03     1.959696544023e-03     3.565498719447e-03
       1124.89876870      -6.80011603e-16    -1.130383242382e-03     1.957519046167e-03     3.567288965767e-03
       1126.13900990       7.63278329e-16    -1.162153702858e-03     1.955190547723e-03     3.568939101165e-03
       1127.37925110       6.38378239e-16    -1.194844911482e-03     1.952749138571e-03     3.570441282646e-03
       1128.61949230      -3.94129174e-15    -1.228080085817e-03     1.950236582457e-03     3.571792867695e-03
       1129.85973350       1.84574578e-15    -1.261428936358e-03     1.947688805452e-03     3.572977287061e-03
       1131.09997470      -1.40165657e-15    -1.294524001819e-03     1.945155035983e-03     3.573965550942e-03
       1132.34021590       1.16573418e-15    -1.327012130564e-03     1.942694075794e-03     3.574755028555e-03
       1133.58045710      -7.49400542e-16    -1.358470074754e-03     1.940332262240e-03     3.575331683219e-03
       1134.82069830       1.44328993e-15    -1.388458963042e-03     1.938063497566e-03     3.575662865363e-03
       1136.06093950      -1.51267887e-15    -1.416560276287e-03     1.935900653939e-03     3.575740563953e-03
       1137.30118070       2.02615702e-15    -1.442382253845e-03     1.933883618306e-03     3.575609985409e-03
       1138.54142190      -5.82867088e-16    -1.465581047039e-03     1.932029247697e-03     3.575299675602e-03
       1139.78166310      -1.63757896e-15    -1.485772130171e-03     1.930340731556e-03     3.574781288742e-03
       1141.02190430       8.88178420e-16    -1.502459467798e-03     1.928868452495e-03     3.574011893624e-03
       1142.26214550      -3.38618023e-15    -1.515214688557e-03     1.927661562360e-03     3.572965920027e-03
       1143.50238670      -3.02535774e-15    -1.523762792161e-03     1.926704640141e-03     3.571673014649e-03
       1144.74262790       1.24900090e-16    -1.527842397297e-03     1.925970631676e-03     3.570216186503e-03
