# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 1e-05, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
   13.000000     0.0000000000e+00     8.3092069470e-03     0.0000000000e+00
   13.050000    -0.0000000000e+00     8.1005020671e-03     0.0000000000e+00
   13.100000     0.0000000000e+00     9.4882098519e-03     0.0000000000e+00
   13.150000     0.0000000000e+00     1.3147576456e-02     0.0000000000e+00
   13.200000     0.0000000000e+00     1.7551153501e-02     0.0000000000e+00
   13.250000     0.0000000000e+00     1.8014054165e-02     0.0000000000e+00
   13.300000     0.0000000000e+00     1.3620000522e-02     0.0000000000e+00
   13.350000    -0.0000000000e+00     7.5860981730e-03     0.0000000000e+00
   13.400000    -0.0000000000e+00     2.7707685394e-03     0.0000000000e+00
   13.450000     0.0000000000e+00     2.8502805734e-03     0.0000000000e+00
   13.500000     0.0000000000e+00     7.8417109805e-03     0.0000000000e+00
   13.550000     0.0000000000e+00     1.3873829088e-02     0.0000000000e+00
   13.600000     0.0000000000e+00     1.7044648143e-02     0.0000000000e+00
   13.650000    -0.0000000000e+00     1.8943897207e-02     0.0000000000e+00
   13.700000    -0.0000000000e+00     1.9794168602e-02     0.0000000000e+00
   13.750000    -0.0000000000e+00     1.7520322323e-02     0.0000000000e+00
   13.800000     0.0000000000e+00     1.4514721264e-02     0.0000000000e+00
   13.850000     0.0000000000e+00     1.2793024413e-02     0.0000000000e+00
   13.900000     0.0000000000e+00     1.2820806579e-02     0.0000000000e+00
   13.950000     0.0000000000e+00     1.3575489961e-02     0.0000000000e+00
   14.000000     0.0000000000e+00     1.3922805439e-02     0.0000000000e+00
   14.050000    -0.0000000000e+00     1.3115111643e-02     0.0000000000e+00
   14.100000     0.0000000000e+00     1.1442906649e-02     0.0000000000e+00
   14.150000     0.0000000000e+00     9.7203478440e-03     0.0000000000e+00
   14.200000     0.0000000000e+00     1.0384846394e-02     0.0000000000e+00
   14.250000     0.0000000000e+00     1.4212146684e-02     0.0000000000e+00
   14.300000     0.0000000000e+00     1.8010167969e-02     0.0000000000e+00
   14.350000     0.0000000000e+00     1.8106727675e-02     0.0000000000e+00
   14.400000    -0.0000000000e+00     1.5824164457e-02     0.0000000000e+00
   14.450000    -0.0000000000e+00     1.4049832903e-02     0.0000000000e+00
   14.500000     0.0000000000e+00     1.2147813710e-02     0.0000000000e+00
   14.550000     0.0000000000e+00     1.1936282832e-02     0.0000000000e+00
   14.600000     0.0000000000e+00     1.3099959041e-02     0.0000000000e+00
   14.650000     0.0000000000e+00     1.3672915419e-02    -0.0000000000e+00
   14.700000     0.0000000000e+00     1.5201376954e-02    -0.0000000000e+00
   14.750000     0.0000000000e+00     1.9593123904e-02    -0.0000000000e+00
   14.800000     0.0000000000e+00     2.3511053390e-02    -0.0000000000e+00
   14.850000     0.0000000000e+00     2.1362299685e-02     0.0000000000e+00
   14.900000     0.0000000000e+00     1.3848968556e-02     0.0000000000e+00
   14.950000     0.0000000000e+00     7.8204325373e-03     0.0000000000e+00
   15.000000     0.0000000000e+00     6.9579873641e-03     0.0000000000e+00
   15.050000    -0.0000000000e+00     8.5909739680e-03     0.0000000000e+00
   15.100000     0.0000000000e+00     9.6248493222e-03     0.0000000000e+00
   15.150000    -0.0000000000e+00     1.0079676362e-02     0.0000000000e+00
   15.200000    -0.0000000000e+00     1.1378114491e-02     0.0000000000e+00
   15.250000    -0.0000000000e+00     1.2235422799e-02     0.0000000000e+00
   15.300000     0.0000000000e+00     1.2408523159e-02     0.0000000000e+00
   15.350000     0.0000000000e+00     1.3043666361e-02     0.0000000000e+00
   15.400000     0.0000000000e+00     1.4100880109e-02     0.0000000000e+00
   15.450000     0.0000000000e+00     1.4960175762e-02     0.0000000000e+00
   15.500000     0.0000000000e+00     1.4392207639e-02     0.0000000000e+00
   15.550000     0.0000000000e+00     1.2273789798e-02     0.0000000000e+00
   15.600000    -0.0000000000e+00     9.7928116623e-03     0.0000000000e+00
   15.650000    -0.0000000000e+00     9.4740273962e-03    -0.0000000000e+00
   15.700000     0.0000000000e+00     1.1965985248e-02    -0.0000000000e+00
   15.750000     0.0000000000e+00     1.5309980908e-02     0.0000000000e+00
   15.800000     0.0000000000e+00     1.6244946363e-02     0.0000000000e+00
   15.850000     0.0000000000e+00     1.4769630340e-02     0.0000000000e+00
   15.900000     0.0000000000e+00     1.2536594616e-02     0.0000000000e+00
   15.950000     0.0000000000e+00     1.1073107713e-02     0.0000000000e+00
   16.000000    -0.0000000000e+00     1.2295812155e-02     0.0000000000e+00
   16.050000    -0.0000000000e+00     1.5674988206e-02     0.0000000000e+00
   16.100000    -0.0000000000e+00     1.8548821284e-02    -0.0000000000e+00
   16.150000    -0.0000000000e+00     1.8914239744e-02     0.0000000000e+00
   16.200000     0.0000000000e+00     1.7105123440e-02     0.0000000000e+00
   16.250000     0.0000000000e+00     1.4652380662e-02     0.0000000000e+00
   16.300000     0.0000000000e+00     1.3764769391e-02     0.0000000000e+00
   16.350000     0.0000000000e+00     1.4320780062e-02     0.0000000000e+00
   16.400000    -0.0000000000e+00     1.6056204736e-02     0.0000000000e+00
   16.450000    -0.0000000000e+00     1.8956936238e-02     0.0000000000e+00
   16.500000     0.0000000000e+00     2.2532616991e-02     0.0000000000e+00
   16.550000     0.0000000000e+00     2.4958221771e-02     0.0000000000e+00
   16.600000     0.0000000000e+00     2.4664342602e-02     0.0000000000e+00
   16.650000     0.0000000000e+00     2.3568193991e-02     0.0000000000e+00
   16.700000     0.0000000000e+00     2.2553074431e-02    -0.0000000000e+00
   16.750000     0.0000000000e+00     2.0568723056e-02    -0.0000000000e+00
   16.800000     0.0000000000e+00     1.8401716027e-02     0.0000000000e+00
   16.850000     0.0000000000e+00     1.7590698025e-02     0.0000000000e+00
   16.900000     0.0000000000e+00     1.5486820841e-02     0.0000000000e+00
   16.950000     0.0000000000e+00     1.2834569184e-02     0.0000000000e+00
   17.000000     0.0000000000e+00     1.3517287196e-02     0.0000000000e+00
   17.050000     0.0000000000e+00     1.6466654166e-02     0.0000000000e+00
   17.100000    -0.0000000000e+00     1.6594421940e-02     0.0000000000e+00
   17.150000    -0.0000000000e+00     1.3517661207e-02     0.0000000000e+00
   17.200000    -0.0000000000e+00     1.2135317408e-02     0.0000000000e+00
   17.250000    -0.0000000000e+00     1.3715792622e-02     0.0000000000e+00
   17.300000     0.0000000000e+00     1.5518689259e-02     0.0000000000e+00
   17.350000     0.0000000000e+00     1.5538801087e-02     0.0000000000e+00
   17.400000     0.0000000000e+00     1.4498327552e-02    -0.0000000000e+00
   17.450000     0.0000000000e+00     1.3565291535e-02    -0.0000000000e+00
   17.500000     0.0000000000e+00     1.2691886202e-02    -0.0000000000e+00
   17.550000    -0.0000000000e+00     1.0807538465e-02     0.0000000000e+00
   17.600000    -0.0000000000e+00     9.9173649368e-03     0.0000000000e+00
   17.650000     0.0000000000e+00     1.1104131823e-02     0.0000000000e+00
   17.700000     0.0000000000e+00     1.3054549610e-02     0.0000000000e+00
   17.750000     0.0000000000e+00     1.3926065700e-02     0.0000000000e+00
   17.800000     0.0000000000e+00     1.2313064471e-02    -0.0000000000e+00
   17.850000     0.0000000000e+00     9.6448813794e-03     0.0000000000e+00
   17.900000     0.0000000000e+00     8.5220554728e-03     0.0000000000e+00
   17.950000    -0.0000000000e+00     1.0423675986e-02     0.0000000000e+00
