# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [1e-05, 0, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    2.050000    -6.7688584827e-03    -0.0000000000e+00    -0.0000000000e+00
    2.100000    -2.2182126929e-03     0.0000000000e+00    -0.0000000000e+00
    2.150000    -2.9457934606e-03     0.0000000000e+00     0.0000000000e+00
    2.200000    -3.5397712684e-03     0.0000000000e+00     0.0000000000e+00
    2.250000     6.0369799537e-03     0.0000000000e+00    -0.0000000000e+00
    2.300000     8.2419232247e-02     0.0000000000e+00    -0.0000000000e+00
    2.350000     3.8748034769e-01     0.0000000000e+00    -0.0000000000e+00
    2.400000     8.7102458620e-01     0.0000000000e+00    -0.0000000000e+00
    2.450000     1.0149802752e+00     0.0000000000e+00    -0.0000000000e+00
    2.500000     1.0996174386e+00     0.0000000000e+00     0.0000000000e+00
    2.550000     3.9798772098e+00     0.0000000000e+00     0.0000000000e+00
    2.600000     1.3458056044e+01     0.0000000000e+00     0.0000000000e+00
    2.650000     2.4709825885e+01     0.0000000000e+00     0.0000000000e+00
    2.700000     2.6290290696e+01    -0.0000000000e+00     0.0000000000e+00
    2.750000     1.9642009700e+01    -0.0000000000e+00     0.0000000000e+00
    2.800000     1.1501355815e+01     0.0000000000e+00     0.0000000000e+00
    2.850000     4.7743213949e+00     0.0000000000e+00     0.0000000000e+00
    2.900000     1.8337947691e+00     0.0000000000e+00     0.0000000000e+00
    2.950000     1.4398389816e+00     0.0000000000e+00     0.0000000000e+00
    3.000000     1.1060961525e+00     0.0000000000e+00     0.0000000000e+00
    3.050000     5.7817924995e-01    -0.0000000000e+00     0.0000000000e+00
    3.100000     4.4485370379e-01     0.0000000000e+00     0.0000000000e+00
    3.150000     4.6422091749e-01     0.0000000000e+00     0.0000000000e+00
    3.200000     2.9659518367e-01    -0.0000000000e+00     0.0000000000e+00
    3.250000     1.5475499254e-01    -0.0000000000e+00     0.0000000000e+00
    3.300000     3.8927839226e-01    -0.0000000000e+00     0.0000000000e+00
    3.350000     1.1753309354e+00     0.0000000000e+00     0.0000000000e+00
    3.400000     1.8493859272e+00     0.0000000000e+00     0.0000000000e+00
    3.450000     1.4856654665e+00     0.0000000000e+00     0.0000000000e+00
    3.500000     6.8506640685e-01     0.0000000000e+00     0.0000000000e+00
    3.550000     4.5866591950e-01    -0.0000000000e+00     0.0000000000e+00
    3.600000     7.7849078741e-01    -0.0000000000e+00     0.0000000000e+00
    3.650000     9.8218765074e-01     0.0000000000e+00     0.0000000000e+00
    3.700000     9.0345112298e-01     0.0000000000e+00     0.0000000000e+00
    3.750000     1.0822191521e+00     0.0000000000e+00     0.0000000000e+00
    3.800000     1.3637459421e+00     0.0000000000e+00    -0.0000000000e+00
    3.850000     1.4729320087e+00     0.0000000000e+00    -0.0000000000e+00
    3.900000     2.0170974624e+00     0.0000000000e+00     0.0000000000e+00
    3.950000     2.7395961268e+00     0.0000000000e+00     0.0000000000e+00
    4.000000     2.6083241053e+00    -0.0000000000e+00     0.0000000000e+00
    4.050000     1.7422194223e+00     0.0000000000e+00     0.0000000000e+00
    4.100000     9.8588318985e-01     0.0000000000e+00     0.0000000000e+00
    4.150000     5.9041142408e-01     0.0000000000e+00     0.0000000000e+00
    4.200000     5.0055646804e-01     0.0000000000e+00     0.0000000000e+00
    4.250000     5.9465127167e-01     0.0000000000e+00     0.0000000000e+00
    4.300000     5.1135818431e-01     0.0000000000e+00     0.0000000000e+00
    4.350000     2.5157578634e-01     0.0000000000e+00    -0.0000000000e+00
    4.400000     8.3347670846e-02     0.0000000000e+00    -0.0000000000e+00
    4.450000     8.8514286787e-02     0.0000000000e+00     0.0000000000e+00
